Employee ID,Name,Age,Department,Salary ($),Years at Company,Performance Score,Attrition
E0084,Oscar Brown,39,Customer Support,118222,13,3.4,No
E0085,Ian Carter,26,Customer Support,54720,8,4.4,No
E0086,Laura Adams,35,Human Resources,47045,17,3.7,Yes
E0087,Paula Nguyen,26,Human Resources,102036,0,3.9,No
E0088,Jenna Evans,30,Sales,97932,9,4.1,No
E0089,Kevin Evans,36,IT,111289,5,4.0,No
E0090,Alice Allen,31,Human Resources,48547,8,4.7,Yes
E0091,Quentin Johnson,26,IT,103859,19,4.5,Yes
E0092,Fiona Lee,29,Customer Support,112871,9,4.3,No
E0093,Michael Johnson,29,Marketing,54489,5,4.0,No
E0094,Tina Adams,35,Marketing,114256,8,3.2,No
E0095,Oscar White,31,Marketing,116430,20,4.2,No
E0096,Alice Walker,39,Customer Support,97229,4,4.7,Yes
E0097,Kevin Allen,45,Finance,65586,3,4.4,No
E0098,George Nguyen,24,Marketing,51184,14,4.5,Yes
E0099,Kevin Kim,45,Customer Support,92944,4,3.7,No
E0100,Kevin White,50,Engineering,110565,4,3.7,No
E0101,Oscar Evans,56,Marketing,57051,3,4.3,No
E0102,Fiona Evans,53,IT,97699,3,4.4,No
E0103,Fiona Smith,58,Marketing,115681,10,3.8,No
E0104,Charlie Clark,50,Sales,61305,20,4.2,Yes
E0105,George Evans,36,Human Resources,84387,0,3.5,No
E0106,Quentin Patel,35,Sales,69533,12,4.3,No
E0107,Dana White,55,Finance,109950,4,4.8,No
E0108,Michael Patel,24,Engineering,96357,13,4.4,Yes
E0109,Steve Smith,39,Engineering,97891,19,4.0,No
E0110,Bob Young,26,Customer Support,61297,11,3.7,No
E0111,Ian Allen,51,Marketing,69391,2,5.0,No
E0112,Kevin Lee,32,Engineering,73219,16,3.6,No
E0113,Laura Young,38,Finance,73019,10,4.6,Yes
E0114,Alice Johnson,22,Marketing,84058,9,4.7,No
E0115,Rachel Johnson,59,Engineering,75942,8,4.2,No
E0116,Fiona Walker,42,Marketing,96630,13,3.7,No
E0117,Hannah Patel,46,IT,98546,20,4.5,No
E0118,Oscar Clark,43,Engineering,69300,3,4.6,Yes
E0119,Quentin Lee,35,Engineering,93019,12,4.2,No
E0120,Laura White,51,Engineering,73860,14,4.3,No
E0121,George Scott,59,Human Resources,118308,13,3.6,No
E0122,Michael Walker,52,Finance,82406,1,4.4,No
E0123,Edward Hall,55,Sales,96191,14,3.9,Yes
E0124,Bob Lopez,50,Finance,116218,20,3.1,No
E0125,Oscar Patel,50,Finance,80042,10,4.4,No
E0126,Steve Hall,49,Sales,109502,1,3.6,No
E0127,Quentin Young,35,Sales,84596,3,4.6,Yes
E0128,Dana Johnson,46,Marketing,98363,5,4.3,No
E0129,Hannah Brown,50,Finance,80983,15,3.1,No
E0130,Jenna Nguyen,39,Marketing,72687,0,3.3,Yes
E0131,Charlie Garcia,52,Marketing,78824,6,5.0,Yes
E0132,Paula Baker,22,Human Resources,83963,10,4.1,No
E0133,Alice Lopez,22,Sales,82433,19,3.5,No
E0134,Paula White,36,Customer Support,61673,9,4.7,No
E0135,Fiona Baker,54,Sales,69490,9,4.1,No
E0136,Jenna Smith,47,IT,104820,7,3.9,No
E0137,Oscar Nguyen,22,Human Resources,114197,0,4.5,No
E0138,Quentin Nguyen,54,Finance,52462,2,4.2,Yes
E0139,Jenna Evans,40,Finance,45307,4,3.6,No
E0140,Edward Young,42,Engineering,61757,4,4.3,No
E0141,Bob Lee,56,Human Resources,100531,5,3.6,Yes
E0142,George Kim,49,Human Resources,75844,13,4.1,No
E0143,Dana Smith,51,Finance,82895,20,2.9,No
E0144,Tina Baker,29,Sales,82888,8,4.4,No
E0145,Nina Garcia,45,Customer Support,80414,20,3.7,No
E0146,Kevin Brown,59,Customer Support,63567,15,3.4,No
E0147,Michael Kim,55,IT,68583,17,3.7,No
E0148,Dana Carter,54,Sales,110525,0,3.6,No
E0149,Hannah Evans,39,IT,68843,0,4.2,No
E0150,George Adams,40,Engineering,108863,14,4.1,No
E0151,Nina Young,51,Engineering,89115,15,4.4,No
E0152,Alice Clark,27,Finance,100471,20,4.4,Yes
E0153,Ian White,37,Human Resources,109428,13,3.5,No
E0154,Dana Carter,30,Engineering,97537,5,3.3,Yes
E0155,Fiona Lee,30,Engineering,115065,1,4.0,No
E0156,George Nguyen,26,Engineering,93265,4,4.4,Yes
E0157,George Kim,26,Finance,53204,19,4.1,No
E0158,Laura Baker,39,Finance,84527,19,3.6,Yes
E0159,Kevin Patel,56,Marketing,104288,4,3.9,No
E0160,Rachel Young,50,Engineering,47707,2,3.9,No
E0161,Laura Young,59,Human Resources,108499,0,4.3,No
E0162,Jenna Baker,32,Customer Support,110321,5,4.1,No
E0163,Alice Patel,56,IT,106134,3,4.4,No
E0164,Steve Lee,28,Sales,93761,7,4.3,No
E0165,Bob Brown,60,Customer Support,92484,3,4.2,No
E0166,Jenna Johnson,43,Finance,46065,18,4.1,No
E0167,Edward Lee,32,Human Resources,116780,13,4.2,Yes
E0168,Michael Hall,60,Engineering,108967,5,3.5,No
E0169,Charlie Kim,25,Human Resources,106733,14,4.6,Yes
E0170,Kevin Walker,40,Sales,75752,15,4.4,No
E0171,Dana White,26,Engineering,72317,2,4.6,No
E0172,Rachel Clark,37,Customer Support,72202,16,4.4,No
E0173,Charlie Walker,24,Finance,74463,20,4.8,Yes
E0174,Kevin Patel,42,Customer Support,112878,12,4.4,Yes
E0175,Oscar White,43,Sales,77797,6,4.7,No
E0176,Edward Carter,34,IT,68435,10,4.2,No
E0177,Hannah Clark,27,Human Resources,110333,18,4.0,No
E0178,Alice Kim,59,Human Resources,98674,10,3.6,No
E0179,Edward Patel,48,IT,80627,16,3.5,No
E0180,Charlie Carter,26,Sales,104108,10,4.4,No
E0181,Dana Hall,32,Finance,66164,0,5.0,No
E0182,Paula Kim,59,Finance,72572,5,5.0,No
E0183,Bob Johnson,42,Sales,69237,12,3.8,Yes
E0184,Laura Allen,34,Marketing,52558,13,3.8,No
E0185,Kevin Allen,42,IT,46253,2,4.0,No
E0186,Tina Adams,28,Engineering,92262,0,4.0,No
E0187,Dana Evans,24,Human Resources,57927,1,3.9,No
E0188,George Lopez,45,IT,116191,20,4.2,No
E0189,Nina Brown,37,Marketing,46887,19,3.7,No
E0190,Nina Walker,36,Engineering,83142,8,4.7,Yes
E0191,Oscar Young,26,Engineering,97236,14,3.4,No
E0192,Charlie Young,56,Sales,49631,20,4.1,No
E0193,Quentin Clark,28,IT,87075,11,3.7,No
E0194,Dana Clark,36,IT,100166,2,4.2,Yes
E0195,Charlie Evans,57,IT,101370,5,3.5,Yes
E0196,Nina Brown,45,Human Resources,74709,11,3.9,No
E0197,George Allen,35,Sales,70249,14,3.5,No
E0198,Alice Scott,54,Sales,106957,15,3.4,Yes
E0199,Bob Patel,55,Human Resources,76105,9,4.4,No
E0200,Hannah Baker,43,Customer Support,87060,0,4.5,No
E0201,Ian Garcia,59,Customer Support,85000,13,4.2,No
E0202,Fiona Lee,26,IT,70750,8,3.1,Yes
E0203,George Adams,26,Human Resources,69471,10,3.7,Yes
E0204,Edward Patel,51,Engineering,112258,0,3.9,No
E0205,Bob Garcia,59,Marketing,92468,3,4.0,No
E0206,Jenna Young,39,Marketing,87949,18,3.7,No
E0207,Hannah Garcia,46,Finance,56493,8,5.0,Yes
E0208,Charlie Garcia,54,Marketing,96138,10,4.2,No
E0209,Paula Kim,39,Customer Support,67374,10,4.3,Yes
E0210,George Lopez,49,Customer Support,107415,8,4.7,No
E0211,Paula Baker,33,Customer Support,74232,6,3.8,Yes
E0212,George Baker,30,Marketing,86617,19,3.5,Yes
E0213,Michael Patel,22,Human Resources,100820,20,4.6,No
E0214,Jenna Evans,59,Marketing,48195,16,3.4,No
E0215,Charlie Young,56,Engineering,59761,19,3.9,No
E0216,Quentin Lopez,31,Customer Support,54789,10,4.3,No
E0217,Steve Adams,28,Engineering,99502,5,3.2,Yes
E0218,Kevin Garcia,31,Engineering,95743,2,4.2,No
E0219,Jenna Smith,39,Finance,80083,10,4.2,No
E0220,George Walker,37,IT,55995,6,3.5,No
E0221,Jenna Brown,51,Customer Support,84295,5,3.9,No
E0222,Hannah Clark,27,Sales,81683,20,4.0,No
E0223,Ian Smith,51,Finance,113179,17,4.4,No
E0224,Michael Carter,43,IT,116334,13,3.5,No
E0225,Kevin Brown,39,Engineering,60789,14,3.1,Yes
E0226,Quentin Smith,28,Sales,117905,18,4.3,No
E0227,Tina Nguyen,41,IT,100013,18,4.8,No
E0228,Edward Adams,54,Sales,76412,8,4.1,No
E0229,Fiona Johnson,24,Engineering,60034,16,3.7,No
E0230,Alice Carter,52,Engineering,66049,0,5.0,Yes
E0231,Fiona Allen,23,Customer Support,94422,5,4.5,No
E0232,Jenna Carter,37,IT,105046,9,3.5,No
E0233,Nina Lee,42,Marketing,89510,8,2.8,No
E0234,Bob Evans,33,Marketing,53702,4,3.9,No
E0235,Tina Patel,60,Sales,55581,6,4.0,Yes
E0236,Hannah Evans,35,Human Resources,102321,3,4.1,No
E0237,Bob Garcia,51,Finance,106404,3,4.4,Yes
E0238,Steve Nguyen,45,Marketing,65362,14,5.0,Yes
E0239,Edward Evans,57,Marketing,51865,8,4.0,No
E0240,Bob Smith,29,IT,105675,1,4.7,No
E0241,Laura White,52,Human Resources,45105,1,3.6,No
E0242,Fiona Hall,44,Engineering,102490,9,4.1,No
E0243,Dana Adams,23,Engineering,88344,7,4.7,No
E0244,Kevin Clark,46,Human Resources,57878,16,4.0,No
E0245,Fiona Carter,23,Finance,78337,11,4.3,No
E0246,Michael Garcia,38,Sales,66146,5,3.9,Yes
E0247,Ian White,36,Marketing,77167,10,4.3,No
E0248,Nina Patel,22,Engineering,110020,17,3.3,No
E0249,Michael Brown,58,Human Resources,53776,11,4.1,Yes
E0250,Oscar Scott,28,Customer Support,94126,18,4.1,Yes
E0251,Jenna Young,37,Human Resources,102916,3,4.9,No
E0252,Edward Kim,32,Finance,56255,14,3.3,No
E0253,Ian Brown,50,Finance,66051,16,3.5,No
E0254,Michael Kim,54,Customer Support,69072,9,3.5,No
E0255,Steve Baker,56,Sales,53600,17,4.3,Yes
E0256,Bob Scott,50,Finance,99805,1,5.0,No
E0257,Paula Baker,38,Marketing,86511,18,4.6,No
E0258,Paula Young,40,Sales,51441,12,3.5,No
E0259,Fiona White,59,Human Resources,117964,15,4.0,No
E0260,Kevin Johnson,54,Engineering,53326,16,4.3,Yes
E0261,Michael Hall,37,IT,81480,19,4.0,No
E0262,Charlie Kim,56,IT,77959,6,3.3,No
E0263,Oscar Walker,24,IT,71897,14,4.3,Yes
E0264,Edward Clark,33,Customer Support,82202,15,4.7,No
E0265,Edward Allen,52,Marketing,101916,5,3.9,No
E0266,Hannah Nguyen,26,Human Resources,78486,10,3.9,No
E0267,Rachel Clark,57,Engineering,102052,13,4.1,Yes
E0268,Charlie Kim,35,Human Resources,92658,8,4.4,Yes
E0269,Kevin Lee,35,Human Resources,62589,19,3.9,No
E0270,Paula Patel,50,Customer Support,93490,8,4.6,No
E0271,Rachel Evans,35,Customer Support,55847,10,4.0,No
E0272,Jenna Carter,55,Finance,87587,7,3.7,No
E0273,Bob Baker,30,Engineering,101722,10,3.1,No
E0274,Jenna Adams,32,Sales,79939,6,3.9,No
E0275,Paula Young,54,Human Resources,59371,6,3.5,Yes
E0276,Kevin Carter,40,Human Resources,106730,4,2.7,No
E0277,Edward Lopez,51,Finance,94460,8,3.9,No
E0278,Quentin Scott,35,Human Resources,81486,6,4.2,Yes
E0279,Charlie Lopez,51,IT,109560,11,3.5,No
E0280,Hannah Johnson,26,Sales,76924,4,4.0,No
E0281,Paula Brown,50,Sales,111304,11,4.8,No
E0282,Ian Nguyen,54,Customer Support,62740,4,4.3,No
E0283,Tina Smith,31,Sales,78918,9,4.1,No
E0284,Ian Johnson,38,Finance,88838,8,3.9,No
E0285,Rachel Johnson,31,Marketing,74778,7,4.5,No
E0286,Tina Clark,45,Marketing,78864,2,3.6,No
E0287,Hannah Garcia,25,Finance,106919,11,4.1,Yes
E0288,Bob Baker,53,Sales,115062,18,3.9,Yes
E0289,Oscar Walker,29,Customer Support,77864,18,4.5,No
E0290,Edward Evans,40,Customer Support,112204,19,4.5,No
E0291,Hannah Brown,55,IT,75103,0,4.2,No
E0292,George Evans,36,Human Resources,100440,5,4.0,Yes
E0293,Steve Evans,48,Sales,98566,11,3.2,No
E0294,Alice Smith,23,Marketing,112517,17,3.9,No
E0295,Steve Johnson,52,Sales,88203,0,4.5,No
E0296,Edward Smith,33,Sales,56058,12,3.6,No
E0297,Tina Allen,44,Finance,60353,10,3.8,No
E0298,George Johnson,25,Finance,114365,11,4.4,No
E0299,Tina Lee,60,Customer Support,106249,8,4.1,No
E0300,Quentin Adams,60,Marketing,63007,1,4.2,No
E0301,Michael Hall,37,Human Resources,45536,19,4.2,No
E0302,Jenna Lee,29,Finance,56670,12,3.6,No
E0303,Bob Kim,31,Sales,67292,9,3.2,No
E0304,Steve Evans,36,IT,51951,9,4.2,No
E0305,Jenna Carter,57,Human Resources,85605,14,3.5,Yes
E0306,Bob Patel,37,Engineering,50280,4,4.9,No
E0307,Oscar Brown,23,Human Resources,49721,2,4.6,Yes
E0308,Nina Nguyen,60,Sales,99933,13,3.9,No
E0309,Quentin Johnson,51,Engineering,116724,8,3.0,No
E0310,Edward Kim,33,Sales,48263,19,3.5,No
E0311,Kevin Kim,58,Marketing,116605,13,4.8,No
E0312,Edward Brown,43,IT,62048,20,4.0,No
E0313,Charlie Kim,48,Finance,91146,12,4.5,No
E0314,Tina Lopez,41,Finance,57571,10,4.3,No
E0315,Jenna Baker,56,IT,49141,4,4.3,No
E0316,Steve Kim,41,Engineering,64599,19,4.0,No
E0317,Tina Allen,49,Sales,70281,5,4.8,Yes
E0318,Fiona Smith,55,Finance,113027,13,3.5,No
E0319,Laura Evans,33,Sales,109072,16,3.4,No
E0320,Jenna Clark,37,Customer Support,116542,15,4.2,No
E0321,Nina Brown,47,Sales,66767,10,3.8,No
E0322,Laura Clark,51,Human Resources,94822,15,3.1,No
E0323,Quentin Hall,27,Engineering,113650,15,4.7,No
E0324,Oscar Hall,49,IT,105949,20,3.6,Yes
E0325,Steve Patel,58,Customer Support,70488,6,4.8,No
E0326,Laura White,33,Customer Support,87010,3,5.0,No
E0327,Dana Lopez,23,Human Resources,109248,14,3.7,No
E0328,Oscar Smith,51,Marketing,86058,12,4.4,No
E0329,Dana Walker,54,Engineering,65122,2,4.0,No
E0330,Jenna Johnson,42,Customer Support,74933,6,4.8,No
E0331,Tina Lopez,59,Finance,53899,8,4.7,No
E0332,Bob Evans,34,Engineering,107184,6,4.2,No
E0333,Steve Young,41,Customer Support,61447,16,4.6,No
E0334,Hannah Allen,44,Customer Support,68559,2,4.4,No
E0335,Dana Walker,27,Finance,70304,2,3.4,No
E0336,Charlie Kim,27,IT,99069,19,4.4,No
E0337,Kevin Young,31,Sales,103405,12,3.2,No
E0338,Fiona Nguyen,37,Customer Support,87463,19,4.9,No
E0339,Kevin Smith,54,Finance,102486,16,3.7,No
E0340,Dana Nguyen,26,Sales,73637,18,4.3,Yes
E0341,Rachel White,51,Human Resources,106042,4,4.5,No
E0342,Jenna Johnson,48,Finance,102525,4,4.8,No
E0343,George Garcia,49,Human Resources,63987,20,3.8,No
E0344,Bob Garcia,37,Engineering,55271,2,5.0,Yes
E0345,Nina Garcia,48,Finance,112215,5,3.8,No
E0346,Rachel Kim,59,IT,51870,8,3.7,No
E0347,Laura Lopez,29,IT,72247,19,4.4,No
E0348,Paula Garcia,44,Customer Support,96729,13,3.9,Yes
E0349,Fiona Lee,49,Engineering,83920,3,4.9,No
E0350,Charlie Kim,60,Customer Support,112768,6,3.4,No
E0351,Dana Lopez,60,IT,113580,6,3.9,No
E0352,Dana Garcia,55,Human Resources,93632,6,4.2,No
E0353,Hannah Clark,29,Engineering,103138,18,4.4,No
E0354,Kevin Hall,42,Engineering,80208,14,3.9,No
E0355,Alice Lee,23,Finance,96195,17,3.8,No
E0356,Edward Allen,34,Customer Support,94331,11,4.6,No
E0357,Laura Hall,41,Marketing,81635,3,4.6,No
E0358,Fiona Smith,50,Engineering,49900,1,4.2,No
E0359,Laura Evans,22,Engineering,115108,10,4.3,No
E0360,Ian Smith,24,Finance,109142,11,3.4,No
E0361,Steve Garcia,27,Marketing,64720,3,4.2,Yes
E0362,Edward Lopez,58,Marketing,75557,10,3.7,Yes
E0363,Rachel Lopez,25,Human Resources,72732,19,3.7,No
E0364,Kevin Lee,52,Sales,119992,20,4.4,No
E0365,Nina Lopez,49,Engineering,48452,17,3.6,No
E0366,Charlie Young,50,Human Resources,59772,9,3.8,No
E0367,Dana White,55,Engineering,98210,20,3.5,No
E0368,Steve Lopez,53,Marketing,46593,16,4.6,No
E0369,Dana Clark,50,Engineering,77315,15,3.2,No
E0370,Steve Hall,44,Customer Support,89924,4,5.0,Yes
E0371,Ian Nguyen,27,Engineering,101389,6,3.9,No
E0372,Oscar Scott,44,Customer Support,48876,6,3.2,No
E0373,Hannah Clark,49,Sales,80762,11,4.2,No
E0374,Edward Walker,32,IT,103491,11,4.4,No
E0375,Charlie Young,27,Marketing,70716,6,3.8,Yes
E0376,Laura Clark,29,Human Resources,61298,18,4.2,No
E0377,Dana Young,51,Sales,101142,19,4.2,No
E0378,Kevin Allen,31,Sales,99698,9,4.1,Yes
E0379,George Clark,57,Sales,111549,6,3.5,No
E0380,Charlie Scott,58,IT,64007,15,3.5,No
E0381,George Hall,58,Marketing,80186,13,3.4,No
E0382,Steve Garcia,50,Sales,49580,20,3.5,Yes
E0383,Paula Adams,29,Engineering,81129,8,3.6,No
E0384,Bob Hall,55,Sales,118584,9,3.8,No
E0385,Laura Nguyen,54,Human Resources,59484,8,3.8,No
E0386,Rachel Johnson,46,Engineering,86653,13,3.9,No
E0387,Michael Brown,23,IT,82770,6,3.3,No
E0388,Kevin Clark,53,Customer Support,97009,11,4.0,Yes
E0389,Nina Patel,31,Engineering,110392,17,3.5,Yes
E0390,Alice Garcia,52,Human Resources,54134,14,4.6,No
E0391,Kevin Smith,47,Marketing,110741,14,3.6,Yes
E0392,Hannah Lee,57,Sales,64891,0,4.6,No
E0393,Nina Nguyen,60,Human Resources,55901,7,4.4,Yes
E0394,Hannah Young,52,Marketing,87379,9,4.1,No
E0395,Michael Hall,52,Marketing,110037,19,3.4,No
E0396,Bob Walker,44,Human Resources,98409,17,3.4,No
E0397,Hannah Scott,39,Customer Support,103111,2,2.7,No
E0398,Michael White,59,Human Resources,89526,0,3.5,No
E0399,Laura Baker,56,Sales,72826,10,4.0,No
E0400,Steve Evans,57,Finance,106487,8,3.5,No
E0401,Fiona Lee,38,Human Resources,95572,11,3.9,Yes
E0402,Michael Smith,56,Engineering,72425,16,4.0,No
E0403,Kevin Kim,44,Human Resources,94217,17,4.4,No
E0404,Hannah Garcia,44,Engineering,51258,19,5.0,Yes
E0405,Laura Hall,34,Finance,100915,20,3.0,No
E0406,Tina Kim,25,IT,79519,5,3.8,Yes
E0407,Hannah Lee,28,Sales,55166,11,3.6,No
E0408,Alice Nguyen,25,Marketing,62534,13,4.0,No
E0409,Fiona Kim,59,Customer Support,71997,19,3.7,No
E0410,Bob Carter,36,Finance,93272,15,4.3,No
E0411,Rachel White,36,IT,48085,12,4.2,No
E0412,Hannah Evans,54,Sales,102468,9,4.0,No
E0413,Laura Carter,42,IT,74959,16,4.2,Yes
E0414,Edward Johnson,46,Marketing,84250,12,4.5,Yes
E0415,Rachel White,45,Engineering,86787,4,3.6,No
E0416,Hannah Adams,26,Marketing,72943,6,3.8,No
E0417,Alice Evans,44,Engineering,71515,10,4.5,Yes
E0418,Rachel Young,53,Engineering,69531,8,3.2,No
E0419,Oscar Scott,22,Engineering,59196,0,4.1,Yes
E0420,Bob Garcia,26,Engineering,117614,6,4.1,Yes
E0421,Dana Young,28,Finance,88763,9,3.8,No
E0422,Paula Evans,39,IT,108141,2,3.9,No
E0423,Alice Allen,29,Customer Support,80090,6,4.2,No
E0424,Rachel Nguyen,35,Human Resources,110263,12,4.5,No
E0425,Nina Garcia,36,Marketing,78589,15,4.8,No
E0426,Ian Lee,33,IT,95131,9,4.1,No
E0427,Tina Nguyen,36,Human Resources,100692,20,4.1,Yes
E0428,Paula Patel,25,Marketing,78042,13,4.4,Yes
E0429,Tina Adams,34,Finance,107310,19,3.3,No
E0430,Tina Garcia,42,Human Resources,71145,20,4.2,No
E0431,Hannah Lopez,59,Engineering,71947,7,4.1,No
E0432,Tina Garcia,46,IT,71128,14,3.8,Yes
E0433,Dana Hall,39,Human Resources,60420,8,3.4,No
E0434,Fiona Smith,38,Sales,85195,14,3.8,No
E0435,Fiona Evans,30,Marketing,93456,15,2.7,No
E0436,Charlie Kim,25,IT,112146,2,3.4,No
E0437,Edward Allen,47,Marketing,47737,20,4.7,No
E0438,Michael Kim,36,Human Resources,99369,17,3.6,Yes
E0439,Rachel Walker,24,Finance,75606,3,4.1,No
E0440,Charlie Allen,48,Human Resources,114894,19,4.6,No
E0441,Tina Baker,26,Engineering,76790,2,4.4,No
E0442,Quentin Baker,44,Marketing,47634,8,4.5,Yes
E0443,Kevin Lee,45,Human Resources,86460,1,4.2,No
E0444,Paula Adams,24,Human Resources,90823,0,4.3,No
E0445,Bob Lee,36,Customer Support,69228,3,4.0,No
E0446,Alice White,37,Marketing,51350,20,2.6,No
E0447,Laura Kim,27,Marketing,87673,12,5.0,Yes
E0448,Paula Carter,40,Finance,64753,19,4.5,No
E0449,Bob Brown,29,Engineering,91112,5,4.8,No
E0450,Oscar Clark,43,Sales,113429,0,3.9,No
E0451,Kevin Kim,41,IT,115129,4,4.2,No
E0452,Hannah Evans,52,Sales,93319,8,4.1,No
E0453,Dana Hall,50,Human Resources,82926,10,4.2,Yes
E0454,Jenna Allen,31,Finance,108048,2,4.0,No
E0455,Hannah Lee,54,Finance,115832,11,3.4,Yes
E0456,Fiona Scott,45,Engineering,117156,10,4.3,No
E0457,Kevin Lee,26,Sales,57346,8,4.1,Yes
E0458,Steve Smith,37,Sales,75077,20,4.4,No
E0459,Steve Evans,59,Finance,95875,12,3.9,Yes
E0460,Paula Walker,27,IT,46369,4,4.4,No
E0461,Oscar Nguyen,46,IT,59940,20,3.4,No
E0462,Laura Evans,26,Human Resources,94674,13,4.7,No
E0463,Laura Brown,55,Customer Support,91637,3,3.9,Yes
E0464,Dana Evans,37,Engineering,92994,10,3.5,No
E0465,Alice Baker,36,Customer Support,46132,5,4.5,No
E0466,Kevin Carter,56,Human Resources,68082,13,4.1,Yes
E0467,Dana Smith,33,IT,86041,18,4.4,No
E0468,Alice Baker,27,Marketing,64071,8,4.4,Yes
E0469,Steve Evans,31,Engineering,58630,8,3.2,No
